id,date,user,pc,activity
{T3H1-C9TW74TQ-5834QRFT},1/4/2010 9:52,CPW0003,PC-5362,Insert
{J3C2-C5YU31NM-6222QDYM},1/4/2010 9:57,CPW0003,PC-5362,Remove
{F7D5-V8KY12QO-9667KPHV},1/4/2010 10:56,CPW0003,PC-5362,Insert
{U8R0-F3WF77VN-5465FDCK},1/4/2010 11:50,CPW0003,PC-5362,Remove
{A1S2-O0NQ14ZC-0417VTQH},1/4/2010 11:50,CPW0003,PC-5362,Insert
{B5T1-I7EV04RE-9336QLQP},1/4/2010 12:42,CPW0003,PC-5362,Remove
{I8N9-V0RF59UU-0860VDDQ},1/4/2010 12:50,CPW0003,PC-5362,Insert
{J6X8-P3CJ53WE-0861RMUD},1/4/2010 13:00,CPW0003,PC-5362,Remove
{T5P2-O4ON20IY-8167TLVT},1/4/2010 14:35,CPW0003,PC-5362,Insert
{S5G3-R8KN49UT-7845LLAN},1/4/2010 15:16,CPW0003,PC-5362,Remove
{T7A9-Q8HO23MM-9211CVOS},1/4/2010 16:36,CPW0003,PC-5362,Insert
{M9S7-L6AU16OR-9234KENY},1/4/2010 17:01,CPW0003,PC-5362,Remove
{I9O9-F3VQ26JL-6942HHQL},1/4/2010 17:06,CPW0003,PC-5362,Insert
{W7T5-F2GS07PQ-9123NBFC},1/4/2010 17:06,CPW0003,PC-5362,Remove
{I5Z5-Z0UB90WW-9383BOZQ},1/4/2010 9:25,FEA0006,PC-7090,Insert
{B6B9-T2UO59MA-7672MWRW},1/4/2010 12:35,FEA0006,PC-7090,Remove
{F0L0-Y1IW42BZ-3646LIND},1/4/2010 12:44,FEA0006,PC-7090,Insert
{F0T1-C5HP18AA-4997YBKS},1/4/2010 13:53,FEA0006,PC-7090,Remove
{P1B0-C8EE33PT-3628DDEG},1/4/2010 15:10,FEA0006,PC-7090,Insert
{J0A4-D3DD27LH-3705LCIK},1/4/2010 15:13,FEA0006,PC-7090,Remove
{J6A5-X7BW67TU-0737DYVR},1/4/2010 15:14,FEA0006,PC-7090,Insert
{H8P1-I7QW56RJ-1933MBGS},1/4/2010 15:34,FEA0006,PC-7090,Remove
{R8G3-U8KD88XS-7049QJGJ},1/4/2010 8:39,DJW0011,PC-0263,Insert
{B7R1-X6ML08FA-0626OBNF},1/4/2010 8:44,DJW0011,PC-0263,Remove
{Y4I2-M1PS11DN-6922IWFH},1/4/2010 9:25,DJW0011,PC-0263,Insert
{N2D6-A6CT27CV-7890EHRP},1/4/2010 10:35,DJW0011,PC-0263,Remove
{F4O2-D9WQ69CV-8019MPZN},1/4/2010 10:54,DJW0011,PC-0263,Insert
{R8D5-H7PV42QK-8130JSVL},1/4/2010 11:12,DJW0011,PC-0263,Remove
{J9K2-E3FM27LG-8047AMJI},1/4/2010 11:21,DJW0011,PC-0263,Insert
{A8O9-Z0QB93LG-4156JGMF},1/4/2010 12:08,DJW0011,PC-0263,Remove
{L0W5-Z4PY90XD-8023JUCL},1/4/2010 12:10,DJW0011,PC-0263,Insert
{T4X7-B5DH01ZE-1170OWOL},1/4/2010 13:31,DJW0011,PC-0263,Remove
{D6F7-Y3XB78JA-0813WPTE},1/4/2010 16:41,DJW0011,PC-0263,Insert
{R6M1-J8SB79VK-9973EVGT},1/4/2010 17:00,DJW0011,PC-0263,Remove
{N9F6-H4DP86JH-3335XFJK},1/4/2010 17:36,DJW0011,PC-0263,Insert
{L8A6-O1DV87DY-6232ZDZP},1/4/2010 17:44,DJW0011,PC-0263,Remove
{E4Z3-N8KJ08LP-4296REHU},1/4/2010 18:27,DJW0011,PC-0263,Insert
{E0T6-Q1AP04BB-4774LQSS},1/4/2010 18:42,DJW0011,PC-0263,Remove
{L9T1-I6JV66XK-3989BPPT},1/4/2010 8:11,GDM0015,PC-5640,Insert
