Level,Date,Source,ID,Task
Error,4/13/2022 5:30:50 AM,Schannel,36871,None,A fatal error occurred while creating a TLS client credential. The internal error state is 10013.
Information,4/13/2022 5:29:33 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP149
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,4/13/2022 5:29:33 AM,NETwNb64,7001,None,"The description for Event ID 7001 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP149
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Information,4/13/2022 5:29:33 AM,NETwNb64,7036,None,The \Device\NDMP149 service entered the Intel(R) Dual Band Wireless-AC 7260 state.
Information,4/13/2022 5:29:32 AM,NETwNb64,8000,None,"The description for Event ID 8000 from source NETwNb64 cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event:

\Device\NDMP146
Intel(R) Dual Band Wireless-AC 7260

The specified resource type cannot be found in the image file
"
Warning,4/13/2022 5:29:32 AM,Microsoft-Windows-WLAN-AutoConfig,4003,None,"WLAN AutoConfig detected limited connectivity, attempting automatic recovery.

Recovery Type: 4
Error Code: 0x0
Trigger Reason: 7
IP Family: 0
"
Warning,4/13/2022 5:28:24 AM,Microsoft-Windows-DNS-Client,1014,(1014),Name resolution for the name clients4.google.com timed out after none of the configured DNS servers responded.
Information,4/13/2022 5:26:21 AM,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,4/13/2022 5:26:12 AM,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.363.311.0)
Information,4/13/2022 5:25:33 AM,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.363.311.0)
